time step, avg grain size, grains left
6.380000e+001,1.070441e+003,10
6.390000e+001,1.070794e+003,10
6.400000e+001,1.070235e+003,10
6.410000e+001,1.070038e+003,10
6.420000e+001,1.069419e+003,10
6.430000e+001,1.068359e+003,10
6.440000e+001,1.067629e+003,10
6.450000e+001,1.066631e+003,10
6.460000e+001,1.066628e+003,10
6.470000e+001,1.066605e+003,10
6.480000e+001,1.066844e+003,10
6.490000e+001,1.066583e+003,10
6.500000e+001,1.066379e+003,10
6.510000e+001,1.066865e+003,10
6.520000e+001,1.066586e+003,10
6.530000e+001,1.066472e+003,10
6.540000e+001,1.066139e+003,10
6.550000e+001,1.065933e+003,10
6.560000e+001,1.065819e+003,10
6.570000e+001,1.065067e+003,10
6.580000e+001,1.064627e+003,10
6.590000e+001,1.063870e+003,10
6.600000e+001,1.063764e+003,10
6.610000e+001,1.063919e+003,10
6.620000e+001,1.062475e+003,10
6.630000e+001,1.062530e+003,10
6.640000e+001,1.062200e+003,10
6.650000e+001,1.061385e+003,10
6.660000e+001,1.061591e+003,10
6.670000e+001,1.060568e+003,10
6.680000e+001,1.059560e+003,10
6.690000e+001,1.059140e+003,10
6.700000e+001,1.058897e+003,10
6.710000e+001,1.057315e+003,10
6.720000e+001,1.056347e+003,10
6.730000e+001,1.056610e+003,10
6.740000e+001,1.056917e+003,10
6.750000e+001,1.056804e+003,10
6.760000e+001,1.056274e+003,10
6.770000e+001,1.056197e+003,10
6.780000e+001,1.055065e+003,10
6.790000e+001,1.054740e+003,10
6.800000e+001,1.054135e+003,10
6.810000e+001,1.053979e+003,10
6.820000e+001,1.053453e+003,10
6.830000e+001,1.053417e+003,10
6.840000e+001,1.053584e+003,10
6.850000e+001,1.051516e+003,10
6.860000e+001,1.051137e+003,10
6.870000e+001,1.050695e+003,10
6.880000e+001,1.050489e+003,10
6.890000e+001,1.049933e+003,10
6.900000e+001,1.049286e+003,10
6.910000e+001,1.049183e+003,10
6.920000e+001,1.048477e+003,10
6.930000e+001,1.048462e+003,10
6.940000e+001,1.046994e+003,10
6.950000e+001,1.046989e+003,10
6.960000e+001,1.047072e+003,10
6.970000e+001,1.047029e+003,10
6.980000e+001,1.047531e+003,10
6.990000e+001,1.046580e+003,10
7.000000e+001,1.046079e+003,10
7.010000e+001,1.046175e+003,10
7.020000e+001,1.046491e+003,10
7.030000e+001,1.046020e+003,10
7.040000e+001,1.045203e+003,10
7.050000e+001,1.044970e+003,10
7.060000e+001,1.044047e+003,10
7.070000e+001,1.043135e+003,10
7.080000e+001,1.041956e+003,10
7.090000e+001,1.040815e+003,10
7.100000e+001,1.040231e+003,10
7.110000e+001,1.039393e+003,10
7.120000e+001,1.037771e+003,10
7.130000e+001,1.036691e+003,10
7.140000e+001,1.036210e+003,10
7.150000e+001,1.036100e+003,10
7.160000e+001,1.034474e+003,10
7.170000e+001,1.034849e+003,10
7.180000e+001,1.032880e+003,10
7.190000e+001,1.032846e+003,10
7.200000e+001,1.032954e+003,10
7.210000e+001,1.032420e+003,10
7.220000e+001,1.031489e+003,10
7.230000e+001,1.030959e+003,10
7.240000e+001,1.030504e+003,10
7.250000e+001,1.028895e+003,10
7.260000e+001,1.028960e+003,10
7.270000e+001,1.027291e+003,10
7.280000e+001,1.027148e+003,10
7.290000e+001,1.025452e+003,10
7.300000e+001,1.024140e+003,10
7.310000e+001,1.022678e+003,10
7.320000e+001,1.020828e+003,10
7.330000e+001,1.020444e+003,10
7.340000e+001,1.018700e+003,10
7.350000e+001,1.016442e+003,10
7.360000e+001,1.016344e+003,10
7.370000e+001,1.015953e+003,10
7.380000e+001,1.013900e+003,10
7.390000e+001,1.013810e+003,10
7.400000e+001,1.010979e+003,10
7.410000e+001,1.009389e+003,10
7.420000e+001,1.007578e+003,10
7.430000e+001,1.000584e+003,10
7.440000e+001,9.972046e+002,10
7.450000e+001,1.222268e+003,9
7.460000e+001,1.221805e+003,9
7.470000e+001,1.222070e+003,9
7.480000e+001,1.222292e+003,9
7.490000e+001,1.222015e+003,9
7.500000e+001,1.221076e+003,9
7.510000e+001,1.221207e+003,9
7.520000e+001,1.220819e+003,9
7.530000e+001,1.221240e+003,9
7.540000e+001,1.221536e+003,9
7.550000e+001,1.221150e+003,9
7.560000e+001,1.221050e+003,9
7.570000e+001,1.221206e+003,9
7.580000e+001,1.219956e+003,9
7.590000e+001,1.220244e+003,9
7.600000e+001,1.220615e+003,9
7.610000e+001,1.220091e+003,9
7.620000e+001,1.219819e+003,9
7.630000e+001,1.219381e+003,9
7.640000e+001,1.218784e+003,9
7.650000e+001,1.219113e+003,9
7.660000e+001,1.219198e+003,9
7.670000e+001,1.219321e+003,9
7.680000e+001,1.219465e+003,9
7.690000e+001,1.218760e+003,9
7.700000e+001,1.218556e+003,9
7.710000e+001,1.217782e+003,9
7.720000e+001,1.217775e+003,9
7.730000e+001,1.217540e+003,9
7.740000e+001,1.216936e+003,9
